Symbol,Name,IPOyear,Sector,Industry
MYOV,Myovant Sciences Ltd.,2016,Health Care,Major Pharmaceuticals
NBR,Nabors Industries Ltd.,,Energy,Oil & Gas Production
NC,"NACCO Industries, Inc.",,Consumer Durables,Consumer Electronics/Appliances
NTP,Nam Tai Property Inc.,,Finance,Real Estate
NTEST,NASDAQ TEST STOCK,,n/a,n/a
NTEST.A,NASDAQ TEST STOCK,,n/a,n/a
NTEST.B,NASDAQ TEST STOCK,,n/a,n/a
NTEST.C,NASDAQ TEST STOCK,,n/a,n/a
NBHC,National Bank Holdings Corporation,2012,Finance,Major Banks
NFG,National Fuel Gas Company,,Public Utilities,Oil/Gas Transmission
NGG,"National Grid Transco, PLC",,Public Utilities,Natural Gas Distribution
NHI,"National Health Investors, Inc.",,Consumer Services,Real Estate Investment Trusts
NOV,"National Oilwell Varco, Inc.",,Energy,Metal Fabrications
NPK,"National Presto Industries, Inc.",,Capital Goods,Ordnance And Accessories
NNN,National Retail Properties,,Consumer Services,Real Estate Investment Trusts
NNN^E,National Retail Properties,,n/a,n/a
NNN^F,National Retail Properties,,n/a,n/a
SID,National Steel Company,,Capital Goods,Steel/Iron Ore
NSA,National Storage Affiliates Trust,2015,Consumer Services,Real Estate Investment Trusts
NSA^A,National Storage Affiliates Trust,,n/a,n/a
NSM,Nationstar Mortgage Holdings Inc.,2012,Finance,Finance: Consumer Services
NGS,"Natural Gas Services Group, Inc.",2002,Energy,Oilfield Services/Equipment
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",2012,Consumer Services,Food Chains
NRP,Natural Resource Partners LP,2002,Energy,Coal Mining
NTZ,"Natuzzi, S.p.A.",1993,Consumer Durables,Home Furnishings
NLS,"Nautilus Group, Inc. (The)",,Consumer Non-Durables,Recreational Products/Toys
NCI,"Navigant Consulting, Inc.",,Consumer Services,Professional Services
NVGS,Navigator Holdings Ltd.,2013,Transportation,Marine Transportation
NNA,Navios Maritime Acquisition Corporation,,Transportation,Marine Transportation
NM,Navios Maritime Holdings Inc.,,Transportation,Marine Transportation
NM^G,Navios Maritime Holdings Inc.,,n/a,n/a
NM^H,Navios Maritime Holdings Inc.,,n/a,n/a
NAP,Navios Maritime Midstream Partners LP,2014,n/a,n/a
NMM,Navios Maritime Partners LP,2007,Transportation,Marine Transportation
NAV,Navistar International Corporation,,Capital Goods,Auto Manufacturing
NAV^D,Navistar International Corporation,,Capital Goods,Auto Manufacturing
NCS,"NCI Building Systems, Inc.",,Capital Goods,Metal Fabrications
NCR,NCR Corporation,,Miscellaneous,Office Equipment/Supplies/Services
NP,"Neenah Paper, Inc.",,Basic Industries,Paper
NNI,"Nelnet, Inc.",2003,Finance,Finance: Consumer Services
NPTN,NeoPhotonics Corporation,2011,Technology,Semiconductors
NETS,Netshoes (Cayman) Limited,2017,Consumer Services,Catalog/Specialty Distribution
NVRO,Nevro Corp.,2014,Health Care,Medical/Dental Instruments
HYB,"New America High Income Fund, Inc. (The)",1988,n/a,n/a
GF,"New Germany Fund, Inc. (The)",1990,n/a,n/a
NWHM,New Home Company Inc. (The),2014,Capital Goods,Homebuilding
IRL,"New Ireland Fund, Inc. (The)",1990,n/a,n/a
IRL~,"New Ireland Fund, Inc. (The)",,n/a,n/a
NEWM,New Media Investment Group Inc.,2014,Consumer Services,Newspapers/Magazines
NMFC,New Mountain Finance Corporation,2011,n/a,n/a
EDU,"New Oriental Education & Technology Group, Inc.",2006,Consumer Services,Other Consumer Services
NEWR,"New Relic, Inc.",2014,Technology,Computer Software: Prepackaged Software
NRZ,New Residential Investment Corp.,,Consumer Services,Real Estate Investment Trusts
SNR,New Senior Investment Group Inc.,2014,Consumer Services,Real Estate Investment Trusts
NWY,"New York & Company, Inc.",2004,Consumer Services,Clothing/Shoe/Accessory Stores
NYCB,"New York Community Bancorp, Inc.",,Finance,Banks
NYCB^A,"New York Community Bancorp, Inc.",,n/a,n/a
NYCB^U,"New York Community Bancorp, Inc.",,n/a,n/a
NYRT,"New York REIT, Inc.",2014,Consumer Services,Real Estate Investment Trusts
NYT,New York Times Company (The),,Consumer Services,Newspapers/Magazines
NWL,Newell Brands Inc.,,Consumer Non-Durables,Plastic Products
NFX,Newfield Exploration Company,1993,Energy,Oil & Gas Production
NJR,NewJersey Resources Corporation,,Public Utilities,Oil/Gas Transmission
NEU,NewMarket Corporation,,Basic Industries,Major Chemicals
NEM,Newmont Mining Corporation,,Basic Industries,Precious Metals
NR,"Newpark Resources, Inc.",,Energy,Metal Fabrications
NEXA,Nexa Resources S.A.,2017,Basic Industries,Precious Metals
NHF,NexPoint credit Strategies Fund,,n/a,n/a
NXRT,"NexPoint Residential Trust, Inc.",2015,Consumer Services,Real Estate Investment Trusts
NEP,"NextEra Energy Partners, LP",2014,Public Utilities,Electric Utilities: Central
NEE,"NextEra Energy, Inc.",,Public Utilities,Electric Utilities: Central
NEE^I,"NextEra Energy, Inc.",,n/a,n/a
NEE^J,"NextEra Energy, Inc.",,n/a,n/a
NEE^K,"NextEra Energy, Inc.",,n/a,n/a
NEE^Q,"NextEra Energy, Inc.",,n/a,n/a
NEE^R,"NextEra Energy, Inc.",,n/a,n/a
NGL,NGL ENERGY PARTNERS LP,2011,Energy,Oil Refining/Marketing
NGL^B,NGL ENERGY PARTNERS LP,,n/a,n/a
NMK^B,"Niagara Mohawk Holdings, Inc.",,Public Utilities,Power Generation
NMK^C,"Niagara Mohawk Holdings, Inc.",,Public Utilities,Power Generation
NLSN,Nielsen N.V.,2011,Miscellaneous,Business Services
NKE,"Nike, Inc.",,Consumer Non-Durables,Shoe Manufacturing
NI,"NiSource, Inc",,Public Utilities,Power Generation
NL,"NL Industries, Inc.",,Basic Industries,Major Chemicals
NOAH,Noah Holdings Ltd.,2010,Finance,Investment Managers
NE,Noble Corporation,,Energy,Oil & Gas Production
NBL,Noble Energy Inc.,,Energy,Oil & Gas Production
NBLX,Noble Midstream Partners LP,2016,Energy,Natural Gas Distribution
NOK,Nokia Corporation,1994,Technology,Radio And Television Broadcasting And Communications Equipment
NOMD,Nomad Foods Limited,2016,Consumer Non-Durables,Packaged Foods
NMR,Nomura Holdings Inc ADR,,Finance,Investment Bankers/Brokers/Service
OSB,Norbord Inc.,,Basic Industries,Forest Products
NAO,Nordic American Offshore Ltd,2014,Transportation,Marine Transportation
NAT,Nordic American Tankers Limited,,Consumer Services,Marine Transportation
JWN,"Nordstrom, Inc.",,Consumer Services,Clothing/Shoe/Accessory Stores
NSC,Norfolk Souther Corporation,,Transportation,Railroads
NTL,Nortel Inversora SA,1997,Public Utilities,Telecommunications Equipment
NOA,"North American Energy Partners, Inc.",2006,Energy,Oilfield Services/Equipment
NRT,North European Oil Royality Trust,,Energy,Oil & Gas Production
NOC,Northrop Grumman Corporation,,Capital Goods,Industrial Machinery/Components
NRE,NorthStar Realty Europe Corp.,2015,Consumer Services,Real Estate Investment Trusts
NWN,Northwest Natural Gas Company,,Public Utilities,Oil/Gas Transmission
NWE,NorthWestern Corporation,,Public Utilities,Power Generation
NVS,Novartis AG,,Health Care,Major Pharmaceuticals
NVO,Novo Nordisk A/S,,Health Care,Major Pharmaceuticals
DNOW,NOW Inc.,2014,Energy,Metal Fabrications
NQ,NQ Mobile Inc.,2011,Technology,Computer Software: Prepackaged Software
NRG,"NRG Energy, Inc.",,Public Utilities,Electric Utilities: Central
NYLD,"NRG Yield, Inc.",2015,Public Utilities,Electric Utilities: Central
NYLD.A,"NRG Yield, Inc.",,n/a,n/a
DCM,"NTT DOCOMO, Inc",,Technology,Radio And Television Broadcasting And Communications Equipment
NUS,"Nu Skin Enterprises, Inc.",1996,Health Care,Other Pharmaceuticals
NUE,Nucor Corporation,,Basic Industries,Steel/Iron Ore
NS,Nustar Energy L.P.,,Energy,Natural Gas Distribution
NS^A,Nustar Energy L.P.,,n/a,n/a
NS^B,Nustar Energy L.P.,,n/a,n/a
NSH,"Nustar GP Holdings, LLC",,Energy,Natural Gas Distribution
NSS,"NuStar Logistics, L.P.",,Energy,Natural Gas Distribution
JMLP,Nuveen All Cap Energy MLP Opportunities Fund,2014,n/a,n/a
NVG,Nuveen AMT-Free Municipal Credit Income Fund,2002,n/a,n/a
NUV,Nuveen AMT-Free Municipal Value Fund,1987,n/a,n/a
NUW,Nuveen AMT-Free Municipal Value Fund,2009,n/a,n/a
NEA,Nuveen AMT-Free Quality Municipal Income Fund,2002,n/a,n/a
NAZ,Nuveen Arizona Quality Municipal Income Fund,1992,n/a,n/a
NBB,Nuveen Build America Bond Fund,2010,n/a,n/a
NBD,Nuveen Build America Bond Opportunity Fund,2010,n/a,n/a
NKX,Nuveen California AMT-Free Quality Municipal Income Fund,2002,n/a,n/a
NCB,Nuveen California Municipal Value Fund 2,,n/a,n/a
NCA,"Nuveen California Municipal Value Fund, Inc.",,n/a,n/a
NAC,Nuveen California Quality Municipal Income Fund,1999,n/a,n/a
NTC,Nuveen Connecticut Quality Municipal Income Fund,1993,n/a,n/a
JCE,Nuveen Core Equity Alpha Fund,2007,n/a,n/a
JCO,Nuveen Credit Opportunities 2022 Target Term Fund,2017,n/a,n/a
JQC,Nuveen Credit Strategies Income Fund,2003,n/a,n/a
JDD,Nuveen Diversified Dividend and Income Fund,2003,n/a,n/a
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,2014,n/a,n/a
JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund,2017,n/a,n/a
JMF,Nuveen Energy MLP Total Return Fund,2011,n/a,n/a
NEV,Nuveen Enhanced Municipal Value Fund,2009,n/a,n/a
JFR,Nuveen Floating Rate Income Fund,2004,n/a,n/a
JRO,Nuveen Floating Rate Income Opportuntiy Fund,2004,n/a,n/a
NKG,Nuveen Georgia Quality Municipal Income Fund ,2002,n/a,n/a
JGH,Nuveen Global High Income Fund,2014,n/a,n/a
JHA,Nuveen High Income 2020 Target Term Fund,2015,n/a,n/a
JHY,Nuveen High Income 2020 Target Term Fund,2015,n/a,n/a
JHD,Nuveen High Income December 2019 Target Term Fund,2016,n/a,n/a
JHB,Nuveen High Income November 2021 Target Term Fund,2016,n/a,n/a
NXC,Nuveen Insured California Select Tax-Free Income Portfolio,1992,n/a,n/a
NXN,Nuveen Insured New York Select Tax-Free Income Portfolio,1992,n/a,n/a
NID,Nuveen Intermediate Duration Municipal Term Fund,2012,n/a,n/a
NMY,Nuveen Maryland Quality Municipal Income Fund,1993,n/a,n/a
NMT,Nuveen Massachusetts Municipal Income Fund,,n/a,n/a
NUM,Nuveen Michigan Quality Municipal Income Fund,1991,n/a,n/a
NMS,Nuveen Minnesota Quality Municipal Income Fund,2014,n/a,n/a
NOM,Nuveen Missouri Quality Municipal Income Fund,1993,n/a,n/a
JLS,Nuveen Mortgage Opportunity Term Fund,2009,n/a,n/a
JMM,Nuveen Multi-Market Income Fund,,n/a,n/a
NHA,Nuveen Municipal 2021 Target Term Fund,2016,n/a,n/a
NZF,Nuveen Municipal Credit Income Fund,2007,n/a,n/a
NMZ,Nuveen Municipal High Income Opportunity Fund,2003,n/a,n/a
NMI,"Nuveen Municipal Income Fund, Inc.",1988,n/a,n/a
NJV,Nuveen New Jersey Municipal Value Fund,,n/a,n/a
NXJ,Nuveen New Jersey Quality Municipal Income Fund,2001,n/a,n/a
NRK,Nuveen New York AMT-Free Quality Municipal,2002,n/a,n/a
NYV,Nuveen New York Municipal Value Fund 2,2009,n/a,n/a
NNY,"Nuveen New York Municipal Value Fund, Inc.",1988,n/a,n/a
NAN,Nuveen New York Quality Municipal Income Fund,1999,n/a,n/a
NNC,Nuveen North Carolina Quality Municipal Income Fd,1993,n/a,n/a
NUO,Nuveen Ohio Quality Municipal Income Fund,1991,n/a,n/a
NPN,Nuveen Pennsylvania Municipal Value Fund,2009,n/a,n/a
NQP,Nuveen Pennsylvania Quality Municipal Income Fund,1991,n/a,n/a
JPC,Nuveen Preferred & Income Opportunities Fund,2003,n/a,n/a
JPS,Nuveen Preferred & Income Securities Fund,2002,n/a,n/a
JPT,Nuveen Preferred and Income 2022 Term Fund,2017,n/a,n/a
JPI,Nuveen Preferred and Income Term Fund,2012,n/a,n/a
NAD,Nuveen Quality Municipal Income Fund,1999,n/a,n/a
JRI,Nuveen Real Asset Income and Growth Fund,2012,n/a,n/a
JRS,Nuveen Real Estate Fund,2001,n/a,n/a
BXMX,Nuveen S&P 500 Buy-Write Income Fund,,n/a,n/a
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,,n/a,n/a
NIM,Nuveen Select Maturities Municipal Fund,1992,n/a,n/a
NXP,Nuveen Select Tax Free Income Portfolio,1992,n/a,n/a
NXQ,Nuveen Select Tax Free Income Portfolio II,1992,n/a,n/a
NXR,Nuveen Select Tax Free Income Portfolio III,1992,n/a,n/a
NSL,Nuveen Senior Income Fund,1999,n/a,n/a
JSD,Nuveen Short Duration Credit Opportunities Fund,2011,n/a,n/a
JTD,Nuveen Tax-Advantaged Dividend Growth Fund,,n/a,n/a
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,2004,n/a,n/a
NTX,Nuveen Texas Quality Municipal Income Fund,1991,n/a,n/a
NPV,Nuveen Virginia Quality Municipal Income Fund,1993,n/a,n/a
NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund,2013,n/a,n/a
JMT,Nuven Mortgage Opportunity Term Fund 2,,n/a,n/a
NVR,"NVR, Inc.",,Capital Goods,Homebuilding
OAK,"Oaktree Capital Group, LLC",2012,Finance,Investment Managers
OSLE,Oaktree Specialty Lending Corporation,,n/a,n/a
OMP,Oasis Midstream Partners LP,2017,Energy,Oil & Gas Production
OAS,Oasis Petroleum Inc.,2010,Energy,Oil & Gas Production
OBE,Obsidian Energy Ltd.,,Energy,Oil & Gas Production
OXY,Occidental Petroleum Corporation,,Energy,Oil & Gas Production
OII,"Oceaneering International, Inc.",,Energy,Oilfield Services/Equipment
OZM,Och-Ziff Capital Management Group LLC,2007,Finance,Investment Managers
OCIP,OCI Partners LP,2013,Basic Industries,Major Chemicals
OCN,Ocwen Financial Corporation,,Finance,Finance: Consumer Services
OFG,OFG Bancorp,,Finance,Major Banks
OFG^A,OFG Bancorp,,Finance,Major Banks
OFG^B,OFG Bancorp,,n/a,n/a
OFG^D,OFG Bancorp,,n/a,n/a
OGE,OGE Energy Corporation,,Public Utilities,Electric Utilities: Central
OIBR.C,Oi S.A.,2014,n/a,n/a
OIS,"Oil States International, Inc.",2001,Energy,Metal Fabrications
ODC,Oil-Dri Corporation Of America,,Consumer Durables,Miscellaneous manufacturing industries
ORI,Old Republic International Corporation,,Finance,Property-Casualty Insurers
OLN,Olin Corporation,,Basic Industries,Major Chemicals
OMAA,OM Asset Management plc,2016,Finance,Investment Managers
OMAM,OM Asset Management plc,2014,Finance,Investment Managers
OHI,"Omega Healthcare Investors, Inc.",1992,Consumer Services,Real Estate Investment Trusts
OME,Omega Protein Corporation,1998,Consumer Non-Durables,Packaged Foods
OMC,Omnicom Group Inc.,,Technology,Advertising
OMN,OMNOVA Solutions Inc.,,Basic Industries,Specialty Chemicals
ASGN,"On Assignment, Inc.",1992,Technology,Professional Services
ONDK,"On Deck Capital, Inc.",2014,Finance,Finance: Consumer Services
OGS,"ONE Gas, Inc.",2014,Public Utilities,Oil/Gas Transmission
OLP,"One Liberty Properties, Inc.",,Consumer Services,Real Estate Investment Trusts
OMF,"OneMain Holdings, Inc.",2013,Finance,Finance: Consumer Services
OKE,"ONEOK, Inc.",,Public Utilities,Oil & Gas Production
OOMA,"Ooma, Inc.",2015,Technology,EDP Services
OPY,"Oppenheimer Holdings, Inc.",,Finance,Investment Bankers/Brokers/Service
ORCL,Oracle Corporation,1986,Technology,Computer Software: Prepackaged Software
ORAN,Orange,,Public Utilities,Telecommunications Equipment
OA,"Orbital ATK, Inc.",,Capital Goods,Military/Government/Technical
ORC,"Orchid Island Capital, Inc.",2013,Consumer Services,Real Estate Investment Trusts
OEC,Orion Engineered Carbons S.A,2014,Basic Industries,Major Chemicals
ORN,"Orion Group Holdings, Inc.",,Basic Industries,Military/Government/Technical
IX,Orix Corp Ads,,Finance,Diversified Financial Services
ORA,"Ormat Technologies, Inc.",2004,Public Utilities,Electric Utilities: Central
OSK,Oshkosh Corporation,,Capital Goods,Auto Manufacturing
OR,Osisko Gold Royalties Ltd,2016,Basic Industries,Precious Metals
OUT,OUTFRONT Media Inc.,2014,Consumer Services,Real Estate Investment Trusts
OSG,"Overseas Shipholding Group, Inc.",2015,Transportation,Marine Transportation
OMI,"Owens & Minor, Inc.",,Health Care,Medical Specialities
OC,Owens Corning Inc,,Capital Goods,Industrial Machinery/Components
OI,"Owens-Illinois, Inc.",,Consumer Durables,Containers/Packaging
OXM,"Oxford Industries, Inc.",,Consumer Non-Durables,Apparel
PAI,"Pacific American Income Shares, Inc.",,n/a,n/a
ROYT,Pacific Coast Oil Trust,2012,Energy,Oil & Gas Production
PCG,Pacific Gas & Electric Co.,,Public Utilities,Power Generation
PKG,Packaging Corporation of America,2000,Consumer Durables,Containers/Packaging
PANW,"Palo Alto Networks, Inc.",2012,Technology,Computer peripheral equipment
PAM,Pampa Energia S.A.,,Public Utilities,Electric Utilities: Central
P,"Pandora Media, Inc.",2011,Consumer Services,Broadcasting
PHX,Panhandle Royalty Company,,Energy,Oil & Gas Production
PAR,PAR Technology Corporation,,Miscellaneous,Office Equipment/Supplies/Services
PGRE,"Paramount Group, Inc.",2014,Consumer Services,Real Estate Investment Trusts
PKE,Park Electrochemical Corporation,,Technology,Electrical Products
PK,Park Hotels & Resorts Inc.,2016,Consumer Services,Hotels/Resorts
PKD,Parker Drilling Company,,Energy,Oil & Gas Production
PH,Parker-Hannifin Corporation,,Capital Goods,Metal Fabrications
PE,"Parsley Energy, Inc.",2014,Energy,Oil & Gas Production
PRE^F,PartnerRe Ltd.,,n/a,n/a
PRE^G,PartnerRe Ltd.,,n/a,n/a
PRE^H,PartnerRe Ltd.,,n/a,n/a
PRE^I,PartnerRe Ltd.,,n/a,n/a
PRTY,Party City Holdco Inc.,2015,Consumer Services,Other Specialty Stores
PN,"Patriot National, Inc.",2015,Finance,Specialty Insurers
PAYC,"Paycom Software, Inc.",2014,Technology,Computer Software: Prepackaged Software
PBF,PBF Energy Inc.,2012,Energy,Integrated oil Companies
PBFX,PBF Logistics LP,2014,Energy,Natural Gas Distribution
BTU,Peabody Energy Corporation,2017,Energy,Coal Mining
PSO,"Pearson, Plc",,Consumer Services,Books
PEB,Pebblebrook Hotel Trust,2009,Consumer Services,Real Estate Investment Trusts
PEB^C,Pebblebrook Hotel Trust,,n/a,n/a
PEB^D,Pebblebrook Hotel Trust,,n/a,n/a
PBA,Pembina Pipeline Corp.,,Energy,Oil & Gas Production
PGH,Pengrowth Energy Corporation,,Energy,Oil & Gas Production
PEI,Pennsylvania Real Estate Investment Trust,,Consumer Services,Real Estate Investment Trusts
PEI^B,Pennsylvania Real Estate Investment Trust,,n/a,n/a
PEI^C,Pennsylvania Real Estate Investment Trust,,n/a,n/a
PEI^D,Pennsylvania Real Estate Investment Trust,,n/a,n/a
PFSI,"PennyMac Financial Services, Inc.",2013,Finance,Finance: Consumer Services
PMT,PennyMac Mortgage Investment Trust,2009,Consumer Services,Real Estate Investment Trusts
PMT^A,PennyMac Mortgage Investment Trust,,n/a,n/a
PMT^B,PennyMac Mortgage Investment Trust,,n/a,n/a
PAG,"Penske Automotive Group, Inc.",,Consumer Durables,Automotive Aftermarket
PNR,Pentair plc.,,Technology,Industrial Machinery/Components
PEN,"Penumbra, Inc.",2015,Health Care,Medical/Dental Instruments
PEP,"Pepsico, Inc.",,Consumer Non-Durables,Beverages (Production/Distribution)
PFGC,Performance Food Group Company,2015,Consumer Non-Durables,Food Distributors
PKI,"PerkinElmer, Inc.",,Capital Goods,Biotechnology: Laboratory Analytical Instruments
PBT,Permian Basin Royalty Trust,,Energy,Oil & Gas Production
PRGO,Perrigo Company,,Health Care,Major Pharmaceuticals
PZE,Petrobras Argentina S.A.,,Energy,Oil & Gas Production
PTR,PetroChina Company Limited,,Energy,Oil & Gas Production
PBR,Petroleo Brasileiro S.A.- Petrobras,,Energy,Oil & Gas Production
PBR.A,Petroleo Brasileiro S.A.- Petrobras,,n/a,n/a
PQ,"PetroQuest Energy, Inc.",,Energy,Oil & Gas Production
PFE,"Pfizer, Inc.",,Health Care,Major Pharmaceuticals
PGTI,"PGT Innovations, Inc.",2006,Capital Goods,Building Products
PMC,Pharmerica Corporation,,Health Care,Medical/Nursing Services
PHH,PHH Corp,2002,Finance,Diversified Financial Services
PM,Philip Morris International Inc,,Consumer Non-Durables,Farming/Seeds/Milling
